《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
2012年nba全明星赛的举办时间是?	美国当地时间2012年2月26日	日期
宋金sj-838这个产品的尺寸是什么？	546*395*462mm	单位
少卫的视差是多少？	0.47 mas	单位
激流快艇2 的游戏版是什么？	v1.1.2	单位
黄蜂号航空母舰的技术数据是什么啊？	19,900吨	单位
泷川雅美你知道这个人的日文名是什么吗？	滝川 (たきがわ) クリステル	人物
你知道河口镇的行政代码是什么吗？	441781	数字
cect紫光920的尺寸是什么？	87×46×23mm	单位
商务沟通的开本是多大？	787×1092毫米 1/16	单位
曙光天阔i640r-g的CPU频率是多少？	2.13ghz	单位
你知道糯米糕的制作难度是什么吗？	一般	字词
希腊的遗产是多少字的文章？	405000	数字
北京八喜联合竞技足球俱乐部可以同时容纳多少人？	20000	数字
飞龙落这个是什么类型的小说啊？	玄幻小说	小说
镓的密度是多大啊？	5.91g/cm³	单位
sc发现时间是什么时候啊？	1879年	日期
baby的音乐是什么风格的？	pop，r&b,hip hop	电影
天津农学院吧是属于什么分类啊？	天津院校	词语
铃木惠美的血型是什么？	ab	英文名
意尔康是创建于那一年的？	1992年	日期
奇妙的朋友是在那个国家的书？	中国	历史
乌卡什·法比安斯基是国家队的吗？	21 (0)	历史
山东寺的俗称是什么啊？	兵营庵	地点
苏州梵高印象的法人代表是谁啊？	王先生	电影
我想知道一骑当千是什么时候播出啊？	uhf等电视台：2007年4月起播放	日期
你知道感染清除者需要多少等级吗？	80	数字
森林妖精情侣是神操作类型的？	鼠标操作	游戏
nxv重机枪的口径是多大？	12.7mm	单位
王连英是什么学位的人啊？	历史学博士	人物
京都嵯峨艺术大学是在什么城市啊？	京都市	地点
苯膦酸氨氯地平通用名是什么啊？	苯磺酸氨氯地平片	药品
你知道三剑客的片长有多长吗？	125 min	单位
上海市浦东新区浦南医院是否有医保？	是	字词
草酸铊形状是什么啊？	白色粉末	粉末
舞会明星的游戏类型是什么啊？	装扮小游戏	游戏
轻度精索静脉曲张在西医学中叫什么？	轻度精索静脉曲张	疾病
康熙微服私访记在线播放平台是什么?	pptv 乐视  pps 暴风影音 迅雷看看	电子产品
你知道月湖琴声是什么建筑类别吗？	超高层	建筑
埃斯科里亚尔修道院的标准是什么？	i, ii, iv	单位
菗用五笔是什么？	armf	英文名
稄的仓颉是什么啊？	hdice	英文名
外挂也疯狂的授权状态是什么啊？	a级签约	网站
hk21通用机枪是什么国家产品？	德国	国家
裸婚时代是谁演唱的？	mc暴徒	歌手
关帝庙是什么时候开始建立的？	清代康熙二十一年（1682年）	日期
桦木槌是什么等级的啊？	15	数字
蒋经国的子女都有谁啊？	蒋孝文 蒋孝武 蒋孝勇 蒋孝章 蒋孝严 蒋孝慈	人物
你知道让孩子踏上阅读快车道的印刷时间是什么时候吗？	2009-7-1	日期
我想知道格里芬湖的坐标是什么？	47°21′n 8°41′e	单位
海信电器的上市市场是什么地方？	上海	城镇
问一下你知道蒙古国家男子足球队的外文名字是什么？	mongolia	英文名
台北大学简称是什么啊？	台北大	组织机构
不良少年少轻狂的总点击量是多少？	40704260（截止2014年3月30日）	日期
first love的录制时间是什么时候啊？	1992年	日期
菁英战斗兵的速度是多少啊？	未知	电影
商品零售场所塑料购物袋有偿使用管理办法是在什么时候通过的？	2008年4月16日	日期
你知道宋庆龄是谁的主席吗？	刘少奇 → 副主席代行主席职务	人物
你知道双丰站是什么时候修建的吗？	1938年5月	日期
烂泥湖的面积有多大啊？	30.0平方公里	单位
你知道尧陵是谁公布的是全国文物保护单位吗？	全国重点文物保护单位 中华人民共和国国务院公布	历史
你知道凋灵是属于什么类型吗？	亡灵	电影
你知道格里芬湖的海拔有多高吗？	435 m (1,427 ft)	单位
你知道韭黄鲜虾炒滑蛋是用什么工艺做的吗？	炒	食品
商业银行杠杆率管理办法是在什么时候施行的？	2015年4月1日	日期
子痫是传染性的吗？	无	人物
邪恶森林大冒险的游戏需要多大内存啊？	5.61m	单位
郭燕的教学职称是什么啊？	副教授	人物
龙种的色彩是什么呢？	彩色	词语
我在人民广场吃炸鸡这个mv的导演是谁啊？	thomas hicks	英文名
三星galaxy s5 的内存有多大？	ram：2g，rom：16/32gb	单位
京台高速公路的终点在什么地方啊？	台北市	城市
你知道惠洛克学院的学校网址是什么吗？	www2.wheelock.edu	单位
你知道孙建军有什么临床职称吗？	主任医师	人物
温泉关战役的指挥官是谁啊？	薛西斯一世	人物
罗技mk240是用什么方式工作的？	光电	自然学科
火凤凰奇迹的游戏全名是什么/	火凤凰奇迹	游戏
詹清的性别是什么?	男	性别
显微镜座的成员有什么啊？	赵泳鑫	人物
小行星20000的发音是什么啊？	/ˈværənə/ varr-ə-nə	单位
中兴u862的重量是多少啊？	100 克	单位
暗黑龙·坍缩星蛇的卡片种类的有什么啊？	效果怪兽	怪兽
灌河大桥有多宽啊？	15.5米	单位
花桥镇是什么地方的方言啊？	四川方言	字词
你知道稄的郑码是什么吗？	mfor	英文名
法国巴黎银行的总资产是多少？	6990亿欧元（1999年底）	日期
《芝加哥》这本书都获得过什么奖项啊？	1976年托尼奖（tony award）最佳音乐剧，最佳音乐剧编剧，最佳音乐剧曲谱，最佳音乐剧男主角，两项最佳音乐剧女主角，最佳舞美设计，最佳服装设计，最佳灯光设计，最佳编舞，最佳音乐剧导演提名。	日期
你知道饐一共有多少笔画吗？	20	数字
你知道timken hm88648-hm88610轴承是什么品牌吗？	timken	英文名
特立尼达和多巴哥国家足球队的主教练是谁啊？	本哈克	人物
先史遗产都市·巴比伦的卡片密码是多少？	4357063	数字
机甲战线用罗马字怎么表示啊？	barudo baretto	英文名
盐城市第五中学的邮编是多少啊？	224001	数字
你知道邵华是什么时候去世的吗？	2008年6月24日	日期
最游记是在什么期间播放的？	2000年4月4日－2001年3月27日	日期
布拉德·米勒是从什么时候开始工作到什么时候的？	1998年-2012年	日期
感染清除者是什么品质的呀？	史诗	文学作品
2012款高尔夫1.4t自动蓝驱版什么厂家生产的？	一汽大众	公司
格林县的统计结果是什么啊？	1800	数字
你知道保护证人组是属于什么部门吗？	香港警务处	游戏
狱中题壁什么时候写的？	1922年	日期
你知道三星 r18-dy0s的主板芯片是什么吗？	ati rs600me+sb600	单位
中华人民共和国食品安全法是从什么时候开始施行的？	2009-06-01	日期
开心鬼预计要花多少钱啊？	hk$1,000,000.00	单位
德里克·罗斯在什么时候被选中的？	2008年第一轮第一位被公牛队选中	日期
你知道网游之近战法师的字数是什么啊？	3794497	数字
你知道刘平是属于什么教的啊？	天主教	历史
权尚夏的文观是什么啊？	kwon sang-ha	单位
银诺克/阿司匹林肠溶片是多少毫克的？	25mg	单位
大水牛s系列s0203这个什么结构的？	itx	英文名
余姚市有什么标志性建筑啊？	“名人”露天博物馆 河姆渡国际广场	地点
max商务独栋有多少车位呀？	充足	字词
四川申教育厅关于遴选中等职业教育专家人才的通知是什么地方通知的啊？	四川省教育厅	组织机构
你知道蝙蝠侠有什么别的名字吗？	batman	英文名
你知道陈怡蓉有什么功绩吗？	2012年2月10日台湾“征选优良电影剧本”活动”优良剧本奖“	日期
传播技术建构共同体的asin是什么啊？	b002g9ukpi	单位
京瓷finecamm410r的像素是什么啊？	400万	单位
元昌c-121是什么类型的音箱啊？	电脑音箱	电子产品
你知道张辉是什么学历吗？	博士	人物
你知道迪克牛仔是什么属相吗？	鼠	动物
你知道猎妖人是属于什么类型吗？	东方玄幻	文学作品
蠿的四角号码是多少啊？	17136	数字
子明有什么别的名字吗？	溷	字词
紫叶山本酢浆草用拼音怎么说啊？	zi ye cu jiang cao	英文名
驱动精灵是付费软件吗？	免费软件	词语
koyo nu1012轴承的轴承是多大的啊？	60mm	单位
你知道光是谁写的词吗？	李圣杰	人物
boom boom是什么专辑的歌曲啊？	bonamana	英文名
你知道心之逆鳞是什么公司出的？	杭州玄机科技信息技术有限公司	公司
锦江花园是什么时候建的啊？	2002-01-01	日期
你知道夏普shp112是什么机型的吗？	奥图码	品牌
n-甲基靛红酸酐的cas是什么啊？	10328-92-4	日期
幼稚的反义词是什么啊？	成熟 老练 老成	字词
你知道海信电器的上市代码是什么吗？	600060	数字
章小蕙的婚姻状况怎样的啊？	无	人物
清华大学美术学院的老师是什么编号？	201	数字
你知道摩根大通的董事长是什么？	yyfc	英文名
百年战争是从什么时候到什么时候啊？	1337年－1453年	日期
我很好奇《微笑pasta》是什么地方发行的？	中国	历史
阿斯顿·马丁有什么产品吗？	vanquish、vantage、db9	单位
koyo mlf2006轴承的外直径有多大啊？	6mm	单位
独山子组是谁命名的啊？	黄汲清	人物
你知道乌江的河流面积是多大吗？	8.79万平方公里	单位
我想了解一下洞头县实验中学有多少老师啊？	103	数字
你知道奥乔洛格在2011年的时候有多少人吗？	462	数字
娇妻狠角色：总裁，要学乖这个小说书号是什么啊？	177374	数字
你知道平流雾有什么不好的地方吗？	航班 居民健康	词语
桂春11号的产品叫什么名字啊？	桂春11号	植物
曼来村的降水量是多少啊？	1,231.00毫米	单位
绿党是在什么时候成立的啊？	1991年	日期
悍马h1的最大功率是多大啊？	125kw/3400rpm	单位
微山县人民医院是在什么时候建院的？	1953年	日期
恶作剧之吻是在什么国家播出的啊？	韩国	地点
我想知道暗夜芳人的颜色是什么啊？	彩色	词语
2015年是什么年份？	2015年	日期
技嘉nx66tg2dp的核心频率是多大啊？	500mhzmhz	单位
河南领航产品化工有限公司是什么类型的公司啊？	有限公司	公司
中山大学政治与公共事务管理学院的院长是谁啊？	肖滨	人物
你知道速龙 ii 170u缓存有多大吗？	1mb	单位
我爱董小姐这首歌是谁作曲的啊？	冯强	人物
长阳高尔夫球冠军赛是什么地方主办的啊？	国家体育总局小球运动管理中心	组织机构
鸳鸯眼是在什么地方的病啊？	瞳孔	词语
东风水库的集水大概有多大面积？	33.6平方公里	单位
刘村一村是属于什么镇的啊？	黄村镇	中国其他行政区划
辛香8号是什么蔬菜啊？	辣椒	植物
bioware的上级公司是什么啊？	elevation partners	英文名
你知道自制的豆腐炖鱼是什么工艺吗？	煮	字词
梁滨是什么时候入党的啊？	1979年6月	日期
你知道美淘家的企业精神是什么吗？	创新 服务 团队 守时	词语
xo-2这个东西的温度是多少啊？	5399 ± 55 [5]k	单位
你知道连云港市财政局是谁当局长吗？	孙宗凤	人物
银魂现在写到了第几话？	528话+外传1话（2015年1月现在）	日期
你知道amd his 7870的显存位宽是多少吗？	256bit	单位
boxlight mp-35t的对比度是什么啊？	300:1	日期
榉是什么类型的？	原始花被亚纲	生物
你知道远大医药一共有多少资产吗？	19亿元	单位
你知道革命烈士褒扬条例是什么时候开始实施的吗？	1980年6月4日	日期
你知道高基庙镇喻家碑小学有多少资产吗？	30万元	单位
复兴歌是在什么时候流行的？	1960年	日期
你知道权尚夏的式子是什么吗？	kwon sang-ha	单位
你知道福厦铁路是什么时候开始建造的吗？	2005年9月30日	日期
你知道国民革命军第七十四军有多少兵吗？	2.1万	单位
你知道审计署的网址是什么吗？	http://www.aud.gov.hk www.aud.gov.hk	单位
我想知道湖南辉城是什么时候开始流行的叫法啊？	2003年	日期
你知道修养的拼音是什么吗？	xiū yǎng	单位
你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？	1668-54-8	日期
你知道brmfcmon.exe这个软件的名称是什么吗？	brother status monitor	英文名
gt赛车是什么时候做成的啊？	gran turismo (1997年12月23日) gran turismo 2 (1999年12月11日) gran turismo 3 a-spec (2001年4月28日) gran turismo concept 2001 tokyo (2002年1月1日) gran turismo 4 “prologue” （2003年12月4日） gran turismo 4 (2004年12月28日) gran turismo 5 “prologue” （2007年12月13日） gran turismo psp (2009年10月1日) gran turismo 5 (2010年11月25日)) gran turismo 6 (2013年12月6日)	日期
